COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-2.858548625099788,0.000,0.000,1.3529524,1.3529524,40.326539813661746,333.63164104496934,1.7009588486540923,4.0,2.5408266720883113,5.377025820486977,2.1234891685021005,0.07655802496412908,0.0,0.0,3.0,4.033492095904096,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-3.2353874242779046,2.865,3.247,3.7037082,3.7037082,38.5369891499676,340.9242774531823,1.0186818163760114,5.122411642247665,2.2964359607399762,4.758745098482834,2.5638793191876035,0.004933759529222491,0.0,0.0,3.0,3.9343996009546016,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-2.7940952606602685,57.179,57.882,58.111523,58.111523,33.662779284453464,274.91949951577726,1.8697948880845046,2.3374680144408204,3.673018735199835,2.303056135631454,3.4461145454440265,0.0,0.0,0.0,3.0,3.9831318758463783,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-2.968494721337548,59.323,60.142,60.52152,60.52152,44.43887751016898,279.340288576373,1.028013738470658,2.8900151000682595,2.0922276436441987,4.9448176893159905,2.5764113819895806,0.00855329571748403,0.0,0.0,3.0,3.844842734265735,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-2.3010823900713544,58.090,58.784,58.99405,58.99405,32.1399074802013,259.2920674141588,1.8595536984804126,2.351687340894503,2.899958188134244,3.2290862097288544,3.545602685185728,6.8434871354851096e-06,0.0,0.0,3.0,3.8910611694971733,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-3.050485171408678,58.456,59.044,59.463486,59.463486,36.229833080803054,322.5680326962064,0.7738407237015231,3.8067455674198696,1.9557438689859121,5.205987049667784,1.8937185422791574,0.2577578065527924,0.0,0.7896411318995764,3.0,4.088386528804528,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-3.1900122529898525,57.788,58.603,59.01662,59.01662,49.97564440821408,315.5274940187799,0.8216293960692731,4.2971823371871904,1.5024568756101626,0.8130531627058576,3.831420374272077,0.0,0.0,0.0,3.0,3.98849115651016,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-2.7713572186808326,2.762,3.354,3.4028249,3.4028249,31.496329630145247,318.93639065271236,1.270699600705572,2.168768271992155,2.5247243580986507,5.136201648332407,2.316525788728654,0.14197768211960088,0.0,0.5251882070384223,3.0,3.848860795759799,CD48_GABA_dock.pdb
    119 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   16    0   16    0,-2.8627789555639658,28.549,29.289,29.59449,29.59449,38.11999612827421,259.18859001551897,1.2083121712299578,6.824876666607052,2.463612825305041,2.8936189118179296,3.3861079877674958,0.0,0.0,0.0,3.0,3.956536542513042,CD48_GABA_dock.pdb
