COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-8.927211873131654,0.000,0.000,0.49479347,0.49479347,96.7989851754729,1574.6554803510173,3.3031834121011596,65.49766220839771,0.7544485823079933,69.03850033589501,355.45878024889066,2.362599030405307,8.935193921589471,0.5832246435601122,5.0,7.31346835114885,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-7.855764120182865,35.665,38.615,38.711414,38.711414,69.60595945728525,1394.560079132272,0.6553499892875523,29.349485793048995,0.0,49.06465971485715,351.6902788177755,1.0156304064577977,9.192099156807874,0.7679342926219122,5.0,6.975035972915969,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-7.7924575510781064,35.300,38.167,38.265713,38.260056,67.33524779291947,1408.812021260595,1.0123413530119354,26.278083004876063,0.5675512039092416,56.45414059938994,357.58342288338235,1.742462870296845,10.758432433430102,0.08295905911935186,5.0,7.234418823010318,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-6.855452900332423,35.518,38.275,38.3809,38.377052,45.103728008475414,1357.417752803368,1.0647147945664388,31.72326052095549,0.05379648256017714,76.18240263055624,338.5604583014138,1.6833879753572922,7.21629995621408,2.0111156778985304,5.0,6.955729815573313,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-6.7253160172700275,35.510,38.370,38.465134,38.459656,39.15692094328669,1305.3802816822013,0.17989063343164532,20.33704972486976,0.0,76.02389878040024,338.8604985539872,1.8845970172575364,7.320147530680284,2.1033390103366694,5.0,6.761950699134198,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-6.801709210933117,34.960,37.842,37.93429,37.93429,70.88629600333122,1051.6608001062577,0.8827887045264904,38.76852898095144,0.3779462239097604,57.43846003736574,359.42797521892453,1.0872412256471748,10.560544747474376,0.4157337581459927,5.0,6.339376917210239,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-7.385256645590979,35.250,38.143,38.239838,38.239838,62.42492460061234,1406.6755123922721,1.0968076984660513,28.090875253900258,0.0,68.9020019814257,355.13461270733023,3.8336530040615533,10.040359628062633,1.5820799610303473,5.0,7.043308317793317,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-7.1840838920413,35.242,38.083,38.179424,38.17659,51.5744643144881,1370.8540360924526,0.9456904969416435,20.93883105231373,0.7413930530243926,84.3039226606844,360.54340185184105,4.822063845371571,9.585184273401929,2.0,5.0,7.043646249361747,B2AR_Uroc_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-6.882639605511334,17.458,20.093,20.129269,20.129269,70.76413930271956,1058.0937569947082,0.29962958228148673,33.29154968576459,0.0,51.46963496329817,348.86296616056813,1.1065614905679004,10.36851256087024,0.5246961062738847,5.0,6.0576929477352675,B2AR_Uroc_dock.pdb
