COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-5.328929759376131,0.000,0.000,4.600467,4.600467,90.85864353961301,1042.560821464947,1.4360170629603342,63.968795515605684,1.6615306074876774,53.304944073971456,198.49132400910275,0.7479156246438426,78.07924968561491,0.0,17.0,6.263840161394157,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-5.221711935946196,1.188,3.302,2.7460217,2.7460217,90.57911641957928,971.7558791435621,1.3726863718398772,64.54158928766148,1.8117109773006244,64.20509837490613,152.39824756849583,1.1594027876230133,102.30600633087232,0.0,17.0,6.148757932678426,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-4.892770964080537,1.478,4.589,2.8541124,2.8541124,82.2807481771443,1010.2011534816692,2.154792354995471,68.19947065068115,1.7598351944534358,72.76901495073005,205.12888601014038,0.89643646162458,103.9760566188344,0.0,17.0,6.280218703574202,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-5.70949032639815,3.206,5.598,6.8379254,6.8379254,93.62429290900717,1090.9079820913807,1.272628953762885,72.12150569514932,1.640565438006839,23.77948658297467,142.96023010797632,0.0575621847197519,38.38711379955103,0.0,17.0,6.4237179139194085,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-4.988981876937433,2.560,6.277,4.8007917,4.8007917,80.50582740803634,997.6068767255135,1.267457329329974,57.8804687581932,1.6523426186483179,55.528478864722395,228.76248153589552,0.17889354976557265,72.40814566119019,0.0,17.0,6.014934585137085,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-5.181765511066981,1.982,5.048,4.7145295,4.7145295,88.16298613384218,1001.6356906253319,1.4158026954488574,65.36770425225647,1.572157899070594,60.25924387211889,233.7494507712521,1.9604791414641136,82.65091330007964,0.0,17.0,6.2139432886002846,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-4.873142756828428,1.360,2.829,4.181969,4.181969,76.77587687248226,1000.5782728767347,1.2522005524826916,55.00812032700255,1.6087590534883345,58.821738053733945,144.87450362080676,0.40470350901799157,96.59822468410957,0.0,17.0,6.019009150072151,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-5.005192943185372,1.521,3.456,4.357052,4.357052,80.96473477111357,971.0448552826813,1.1658657446010308,69.20176868736765,1.0907435410753092,57.64860750640984,152.41923649868335,0.8367869183733814,79.36632756464715,0.0,17.0,5.9418477620712595,CD38_Viro_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   62    0   62    0,-4.713775103510938,3.969,7.585,6.632314,6.632314,79.70194103322262,929.269477432287,1.4103931912840737,74.62988580032271,0.5697208325494626,71.52725370575413,227.09669646023218,0.8764039242041713,98.93814391872255,0.0,17.0,6.044076613997112,CD38_Viro_dock.pdb
