COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-6.406910600327503,0.000,0.000,7.7430515,7.7430515,103.38683979159757,1287.2627370699238,1.5410698183162046,79.02591508801997,2.301923799670855,71.98766953375414,369.03140044101565,1.5825217030424126,116.017133466541,0.0,18.0,6.7237678394383344,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-6.051298430001964,2.194,3.974,8.61269,8.61269,101.41218471204442,1387.3176647375367,2.0771454021207503,55.5242097535678,2.470843486253427,82.44576588035682,297.2098278141666,0.70253021265268,120.40939559244683,0.0,18.0,6.6128382786657784,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-6.426668887212309,3.562,5.785,9.868861,9.868861,104.03727647386063,1323.307019519429,1.74530737373408,62.871086660216136,3.272986395945862,71.68881494613642,253.96686560285252,0.8034648300525413,105.95539330671258,0.0,18.0,6.32411212892663,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-6.334086074547138,4.034,9.246,4.9685526,4.9685526,105.70102747515354,1321.8923422082453,1.1965172498444325,79.96169213846358,1.0534527137044543,66.43534753369988,294.18058209907673,1.14761928819759,102.64333762688835,0.0,18.0,6.6102261505161515,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-6.810705423250285,2.373,4.137,8.9525585,8.9525585,108.80637978111758,1356.496989546321,2.170673614987435,72.08389290669874,4.092960550647965,55.8844132412948,286.7000283080589,0.4782979842887103,63.24150573397042,0.0,18.0,6.897132061716061,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-6.059825608037817,4.358,9.273,5.314905,5.314905,90.4730810120495,1274.2955977773001,0.9620307325630073,75.69321296207335,1.355858679942009,64.30012062050467,320.3747582447452,0.3909133314038796,113.44157158139664,0.0,18.0,6.506103294150293,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-6.204609235360512,2.644,4.001,8.191929,8.191929,96.29775045186574,1223.112138258676,1.9132946144027303,63.89449545887419,4.025681254149495,84.37223947352895,351.198372698115,1.7721798542011735,116.52457758639798,0.0,18.0,6.695941536130531,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-5.849368924879092,2.008,3.716,8.368984,8.368984,97.02468874343735,1230.973423045874,1.87860535046089,69.75842393015202,2.269779276034938,104.7912121025108,278.7943190669532,1.105892840300069,113.93473671357815,0.0,18.0,6.732348951270944,CD38_NAra_dock.pdb
    5282105 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   73    0   73    0,-5.802731465160461,3.123,7.321,5.6067204,5.6067204,93.96017243455034,1159.5947038330955,0.8297756826247907,77.86903941136754,0.9341144422342169,81.65972564204338,428.2058460938848,0.729132465792973,110.64404809529614,0.0,18.0,6.542046912753914,CD38_NAra_dock.pdb
