COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.819327963111949,0.000,0.000,9.262344,9.262344,141.2227147957803,1934.2927144551477,2.064369638017804,5.126641433797629,1.772081491762874,57.495626892506465,527.331281543037,2.229430627681513,0.0,4.76875212269422,11.0,5.925175958707958,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.690962918052614,1.423,2.402,9.715861,9.715861,138.87091413089092,1952.0041016703979,2.7346568969000016,8.809164561243163,2.1386064147135726,55.56900883985611,537.6812106943729,2.1215255847096883,0.0,4.0989177608182645,11.0,5.963238496225997,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-9.11757860471584,1.827,2.759,10.101542,10.101542,133.07883502453467,1932.4884819907097,2.030429827427415,9.795847150572769,2.7891314530816205,35.04570032506969,437.0594213772912,1.2073760059662606,0.0,2.8009065121169248,11.0,6.011237821622823,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.582431169689412,4.460,7.409,9.073715,9.073715,118.4532754476347,1724.9820928298077,2.494765961967368,2.097092169970768,5.126706806360418,69.73163902476533,655.9732030232851,1.4131789292258223,0.0,3.783861022480404,11.0,6.064779825840829,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.453269193528518,2.100,9.894,3.5879362,3.5879362,109.05285422478687,1756.6176298054556,2.194172997788177,18.35750991710988,3.6546440535214098,43.164541318201756,488.61017503531946,0.8833083531963704,0.0,2.846144551364585,11.0,5.934224326839837,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.552935544034435,3.276,10.243,4.340265,4.340265,105.27888050481852,1738.9151158871412,2.1114872280090435,8.29332066698753,4.801657817355602,62.9184507672674,563.431136159678,1.6619268516544556,0.0,3.647035619260616,11.0,5.959977807137315,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.815121596860543,3.112,10.307,3.84476,3.84476,127.38448395996394,1709.688559581943,2.711376696944627,1.5950019460123688,5.710977180836819,54.87543082293787,516.0004162790735,1.6157810152243186,0.0,3.144366001227754,11.0,5.650023797147299,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.623625951564307,2.303,10.806,4.7244353,4.7244353,118.05381101749214,1832.9082026898964,1.9365670898216139,2.1091794090388145,3.51804329043654,46.50279486021137,419.65576636996013,1.281352809109194,0.0,2.9422844976856095,11.0,5.861784717338224,CD38_Nico_dock.pdb
    5892 ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.036331198812007,2.384,4.091,9.713045,9.713045,103.9156585848533,1838.619004791793,1.9618406517868576,9.61427872680854,2.2683539677871982,52.9870731110104,455.69786784940425,1.8949361077834925,0.0,5.5139195390394065,11.0,6.108988068931077,CD38_Nico_dock.pdb
