COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.258239847258012,0.000,0.000,6.7725472,6.7591496,136.69335789415413,2133.0356043237293,2.567880160182012,57.2613104015307,2.935619545017193,181.00734908167348,1283.2200572879137,4.091385359708472,55.94596352232628,2.8452411270978004,24.0,7.567320225219232,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.520437178675404,3.509,7.430,2.3420317,2.287892,124.6046692295745,2104.1815878874945,2.4924425632727827,77.1932856754856,3.696414285183879,175.4612947872062,1328.5787334514544,3.8956502154813992,64.21417917427577,1.5900555052989482,24.0,7.566635679709184,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.827478177870496,3.599,7.281,7.63961,7.63961,159.23370252225135,1971.5608235231475,2.5837922827418973,97.7879475960506,2.918760540563715,144.1081867172189,1075.283275739729,3.4141730495918896,47.4734632722604,3.5723325536503348,24.0,7.605619886890891,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.427361465425944,2.066,6.202,6.5536327,6.5536327,111.78140312387711,2087.368882341052,2.615601700855775,64.79225527944556,5.158488666447067,201.6519493236719,1346.990259169321,5.090355081318152,48.993264481442644,4.69838050499929,24.0,7.441368248695754,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.106121855806797,2.579,6.021,5.8400135,5.808885,134.8670986800498,1944.872201257404,3.0472849696875812,81.53793658150505,3.3118321471691727,202.7173453639457,1603.882226885287,5.699628915188107,63.289230577055896,2.1048544810410266,24.0,7.60813946825398,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.2802379792586,1.870,3.901,5.8114533,5.807742,123.7371883680107,2112.5887142951533,2.533092914111814,60.67365829381864,3.737381724385677,165.9235717646211,1337.2259002332771,3.755049448952711,19.3892247704017,4.799790639422779,24.0,7.428831386502388,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-6.8491419853236,1.389,2.985,6.3700504,6.3700504,128.4868959135434,2071.243616006729,2.8579580850046984,53.29933327321322,2.953091947385396,179.54321979432558,1380.7992576028068,4.5798286301876825,41.44851919167279,5.7541164070647906,24.0,7.452739043179048,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-7.091073942647142,2.663,10.447,10.809334,10.796269,135.59780971275364,1999.9811417145065,2.8463568366832095,52.019455855394,4.199001504927455,201.61758656097498,1311.7790292431787,3.9116563555546664,68.08867400077779,2.8891625835957946,24.0,7.300721267066264,CD38_GHRP6_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-6.526750394476847,2.756,8.762,8.753882,8.74774,111.73500153488109,2091.1337984093116,2.283512267856705,35.24711380071103,2.731291489749913,189.8163285423929,1110.5523790394836,6.362516725858463,56.637944969758664,10.457640525405482,24.0,7.340145373737375,CD38_GHRP6_dock.pdb
