COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.118519758797504,0.000,0.000,0.9953955,0.9953955,99.02605618289999,2300.751035154881,2.019835744240259,32.84077837663667,1.5834233057063223,459.3639365279739,3359.964075335083,11.693950456446647,59.64896824930624,6.518115533207583,27.0,7.203469438117442,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.373261152357079,4.007,11.117,10.970809,10.96658,115.82065859904284,2296.8697725898464,2.198403194318232,54.24339451219926,0.6941724116945064,424.25804698319445,3220.4539871051074,13.364289769878447,70.52016657108115,8.366362643605285,27.0,7.212510806082811,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.275950669520393,1.481,2.030,2.1319063,2.1319063,110.05994287518374,2293.623368947479,1.9826977420233862,48.88041077680462,0.6564699947804555,449.42052600115824,3365.380711796305,13.435440716976276,31.233405440878833,7.908338207279779,27.0,7.159206959762464,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.34838864202842,2.821,7.573,7.538797,7.508611,110.6844361712138,2228.188430230289,2.282453771395585,65.96544791684417,0.9194620451786559,426.44477298591204,3200.539247937448,13.110222548888641,49.91395840177364,8.226722740445286,27.0,7.104362498723504,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.439333910508141,3.313,13.424,13.28903,13.2821,97.4930789860421,2430.973322402024,2.3653602088062513,48.582050669428796,1.4946481491627135,426.04035274283126,3295.01335156619,13.960118526624315,52.36499775533485,6.408130634883563,27.0,7.4596097751137815,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.092456107403099,3.082,13.501,13.378,13.372115,100.14790737638243,2216.714902125663,1.3574856244916234,43.46288937094852,0.5565871194741565,429.5474704455978,3340.7886943079698,13.289179489709921,30.627145196078114,8.467161120664183,27.0,7.1535139602064675,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.180340510396678,3.352,7.692,7.497338,7.4772425,108.05150039442739,2026.644988744705,1.2346746535173174,54.07641849294906,1.3238691830595837,448.92515473596876,3290.855409605553,14.933379629011533,58.967292262648215,7.203559729784719,27.0,6.862583174769683,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.9254210558584255,3.131,13.550,13.4344635,13.426986,112.5219741336131,2271.1990093542295,3.2132320137982977,49.74895049545381,0.8728810483177218,417.8686176628278,3315.4439269489144,11.94831928647121,31.212710534857678,6.54763414926052,27.0,7.324823933066938,CD38_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.871837349792927,7.115,12.455,12.368422,12.3620405,112.43312974760447,2020.8416257452363,2.1037805298883363,46.314970124061425,1.4612647865117028,460.37074381313926,3225.3946217594275,12.70467342940637,36.7559109989366,6.352929384663117,27.0,7.138822354423356,CD38_Soma_dock.pdb
