COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.620556260084035,0.000,0.000,81.6794,81.67741,88.19013478825623,2191.3310352989447,1.872035240947988,42.19054702583826,0.2436274856417052,450.0029793150434,3254.2795526648733,13.026394896374136,39.73476477897369,6.794686518308497,27.0,6.933538470473968,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-6.017977708123537,46.571,53.790,72.61931,72.61835,115.82307090368505,2327.5281023533043,1.5141324017392603,17.646255583734717,0.07242727813001489,413.5889542967015,3077.5046383512854,12.79089552626965,23.157724673497533,6.831342747308506,27.0,6.848490996114992,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.617568679644188,75.935,81.671,0.9237602,0.8108533,87.75523703136258,2183.1275004380086,2.138428018852908,53.598004396627736,0.028081175605383688,417.4734525409194,3218.414437443408,12.496142684401967,45.16431214676043,7.097409597811135,27.0,7.113979385336885,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.5252878282372455,58.177,66.133,53.103672,53.102783,103.68051428464011,2080.058110885586,1.634449862760252,22.73116954306982,0.6872702316729589,428.4498385493166,3257.1748973561425,11.908151486896674,48.9935560626417,6.873572409993307,27.0,6.879185788600287,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.561187655470434,52.389,60.469,78.54398,78.54165,78.62776446132484,2197.071444023852,1.2016656439318543,21.345523935049997,0.7993487940072403,424.1281214755183,3282.9460500411883,11.569477203417344,40.14547986261086,7.186928680942211,27.0,6.907237907703414,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.930566267775391,52.074,56.861,80.29283,80.29283,115.8767110767133,2330.948840974905,2.611276091001951,10.37258618504082,1.659936789287606,430.75475884858645,3260.351305403115,14.661718733530828,66.69862096586746,7.471665858234956,27.0,6.930444850538351,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.158631197471755,64.268,68.947,54.199932,54.198975,100.51936172533466,2013.7031444770278,1.780114064931936,22.69992412950246,0.061363115080593625,446.8591220795422,3435.7161552219163,14.06372879819468,62.518797691540804,7.450402120581096,27.0,6.93991255250306,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.835545696313586,57.540,62.446,79.3194,79.31828,87.90446023651705,2260.2514153510574,0.8694955490244454,15.707220013914698,0.7488021715529206,432.6273181868189,3286.899075654431,14.524273959895435,28.319655376825764,7.188468170734066,27.0,6.7484115502830555,cKIT_Soma_dock.pdb
    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  115    0  115    0,-5.220054384007673,21.752,26.587,66.21151,66.211426,89.39195268748725,1878.1023853121878,1.4821407290488005,32.235397083213435,1.2015404334626214,445.63979278162225,3395.371647423018,12.174955149999661,43.893086249387295,6.4942909988892845,27.0,6.81948963431014,cKIT_Soma_dock.pdb
